ProductCode,Name,Category,Brand,Type,FixedAssetType,CostingMethod,Length,Width,Height,Weight,CartonLength,CartonWidth,CartonHeight,CartonInnerQuantity,CartonQuantity,CartonVolume,WeightUnits,DimensionUnits,Barcode,MinimumBeforeReorder,ReorderQuantity,DefaultLocation,LastSuppliedBy,SupplierProductCode,SupplierProductName,SupplierFixedPrice,PriceTier1,PriceTier2,PriceTier3,PriceTier4,PriceTier5,PriceTier6,PriceTier7,PriceTier8,PriceTier9,PriceTier10,AssemblyBOM,AutoAssemble,AutoDisassemble,DropShip,DropShipSupplier,AverageCost,DefaultUnitOfMeasure,InventoryAccount,RevenueAccount,ExpenseAccount,COGSAccount,ProductAttributeSet,AdditionalAttribute1,AdditionalAttribute2,AdditionalAttribute3,AdditionalAttribute4,AdditionalAttribute5,AdditionalAttribute6,AdditionalAttribute7,AdditionalAttribute8,AdditionalAttribute9,AdditionalAttribute10,DiscountName,ProductFamilySKU,ProductFamilyName,ProductFamilyOption1Name,ProductFamilyOption1Value,ProductFamilyOption2Name,ProductFamilyOption2Value,ProductFamilyOption3Name,ProductFamilyOption3Value,CommaDelimitedTags,StockLocator,PurchaseTaxRule,SaleTaxRule,Status,Description,ShortDescription,Sellable,PickZones,AlwaysShowQuantity,WarrantySetupName,InternalNote,ProductionBOM,MakeToOrderBom,QuantityToProduce,IsAccountingDimensionEnabled,DimensionAttribute1,DimensionAttribute2,DimensionAttribute3,DimensionAttribute4,DimensionAttribute5,DimensionAttribute6,DimensionAttribute7,DimensionAttribute8,DimensionAttribute9,DimensionAttribute10,HSCode,CountryOfOrigin
"929135","12 SDIDEWALK CHALK (61187)","Toys","",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"",0.0000,0.0000,FOB,"DAVID Suzhou Creative Kids Co., Ltd","","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.5200,Unit,,,,,"","","","","","","","","","","","","","","","","","","","","","","Tax Exempt","Tax Exempt",ACTIVE,"","",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"77007","20PC Jumbo Chalk Set","Toys","Creative Kids",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"653899770075",0.0000,0.0000,FOB,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Unit,,,,,"","","","","","","","","","","","","","","","","","","","","","","Tax Exempt","Tax Exempt",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","","China"
"77007-Case Pack 12","20PC Jumbo Chalk Set-Casepack 12","Toys","Creative Kids",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"",0.0000,0.0000,FOB,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Yes,Yes,Yes,No Drop Ship,,0.0000,Case Pack 12,,,,,"","","","","","","","","","","","","","","","","","","","","","","Tax Exempt","Tax Exempt",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","","China"
"77007-Case Pack 6","20PC Jumbo Chalk Set-Casepack 6","Toys","Creative Kids",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"",0.0000,0.0000,FOB,"DAVID Suzhou Creative Kids Co., Ltd","","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Yes,Yes,Yes,No Drop Ship,,0.0000,Case Pack 6,,,,,"","","","","","","","","","","","","","","","","","","","","","","Tax Exempt","Tax Exempt",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","","China"
"KDTOOL-24ANI-75772","24 Piece Animal Shape Dough Tool Kit","Toys","Creative Kids",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"",0.0000,0.0000,Amazon FBA,"DAVID Suzhou Creative Kids Co., Ltd","","",0.0000000,12.9900,0.0000,0.0000,6.4900,12.9900,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,1.3100,Unit,,,,,"","","","","","","","","","","","","","","Title","","","","","","3-5,featured,KIDDY DOUGH,Kiddy Dough™,MCF,Retail","","Tax Exempt","Tax Exempt",ACTIVE,"<ul>
<li>ULTIMATE KIDDY DOUGH TOOL KIT – Bulk 24-Piece Factory Play Set Inspires Hours of Creative, Imaginative Play; Recommended for Ages 3 and Up</li>
<li>TONS OF COLORFUL CUTTERS – Each Pack Includes Mini Rolling Pin, Cookie Cutters, Stamps, Molds &amp; Other Utensils in a Variety of Bright, Fun Colors</li>
<li>ADORABLE ANIMAL THEME – Let Kids Learn &amp; Explore With Tools Featuring Cute, Cuddly Animals; Make Endless Zoo Creations at Home or at School</li>
<li>SAFE, EASY &amp; NON TOXIC – Lightweight Pieces are Perfectly Sized for Tiny Hands; Slim Handles &amp; Special Shallow Molds Allow for Easier Pressing &amp; Cutting</li>
<li>EFFORTLESS TO CLEAN – Low Maintenance Toys Wash &amp; Stow Without Worry; Special Bonus Pack Includes 2 FREE Surprise Kiddy Dough Extruders</li>
</ul>
<p><strong>Twenty-Four Learning Tools—In One Convenient Playset!</strong><br><br>For generations, children have learned coordination, creativity, and collaboration by playing with modeling clay. Now, with the 24-Piece Tools Party Pack by Kiddy Dough, imaginative boys, and girls get their hands on something truly exciting and engaging! This all-in-one dough tool kit comes ready with tons of colorful utensils that let them cut, shape, mold and rolls their way to endless hours of learning.<br><br>Watch as they discover each set’s charming animal shapes and 2 extruder tools while strengthening their tiny hand and finger muscles. Our pieces are specially designed to be shallow and lightweight in construction, so they require less clay and help small fingers maneuver easier than before. So, if you want to give them a fun, fascinating learning experience for every play date to come.</p>
<p> </p>
<ul></ul>","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"63207","2n1 Science Kit Ball Creature","Toys","Creative Kids",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"",0.0000,0.0000,FOB,"DAVID Suzhou Creative Kids Co., Ltd","","",0.0000000,5.9900,0.0000,3.0000,2.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,1.4511,Unit,,,,,"","","","","","","","","","","","","","","Title","","","","","","FaireImport,Wholesale","","Tax Exempt","Tax Exempt",ACTIVE,"","",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","","China"
"63207-Case Pack 6","2n1 Science Kit Ball Creature-Case Pack 6","Toys","Creative Kids",Stock,,FIFO,13.0000,10.0000,9.0000,3.8000,13.0000,10.0000,9.0000,6.0000,0.0000,0.677000,lb,in,"",0.0000,0.0000,FOB,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Yes,Yes,Yes,No Drop Ship,,0.0000,Case Pack 6,,,,,"","","","","","","","","","","","","","","","","","","","","","","Tax Exempt","Tax Exempt",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"70270","3 IN 1 SUPER SET","Toys","Creative Kids",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"",0.0000,0.0000,FOB,"DAVID Suzhou Creative Kids Co., Ltd","","",0.0000000,19.9800,0.0000,0.0000,9.9900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,2.1300,Unit,,,,,"","","","","","","","","","","","","","","Title","","","","","","FaireImport,Wholesale","","Tax Exempt","Tax Exempt",ACTIVE,"Bounce right into the ultimate entertainment kit! Create sand-sational art in a bottle with the Sand Art project, seize the ‘clay’ with your very own modeling clay set &amp; molds, and have a ball of fun with the DIY Magic Bouncing Balls. There are enough activities for the whole family to join in on the creativity; it’s 3 in 1 for super fun!","",No,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
"64575","4 CRYSTAL CHALK","Toys","Chalkriffic",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"",0.0000,0.0000,FOB,,"","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,No,No,No,No Drop Ship,,0.0000,Unit,,,,,"","","","","","","","","","","","","","","","","","","","","","","Tax Exempt","Tax Exempt",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","","China"
"64575-Case Pack 12, Inner 4","4 CRYSTAL CHALK-Case Pack 12, Inner 4","Toys","Chalkriffic",Stock,,FIFO,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000000,lb,in,"",0.0000,0.0000,FOB,"GARY Ningbo Teli-Winner Imp. & Exp. Co., Ltd","614261","",0.0000000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,Yes,Yes,Yes,No Drop Ship,,0.0000,"Case Pack 12, Inner 4",,,,,"","","","","","","","","","","","","","","","","","","","","","","Tax Exempt","Tax Exempt",ACTIVE,"","",Yes,,0.0000,,"",No,No,1.0000000000,"False","","","","","","","","","","","",""
