Invoice Number,Invoice Date,PO or Vendor Number,Release Number,PO Date,Dept #,Retailers PO #,Requested Ship / Delivery Date,Cancel Date,Carrier Details,Ship To Location,PO Line #,Qty Ordered,Unit of Measure,Unit Price,Buyer's Catalog or Stock Keeping #,UPC/EAN,Vendor Style,Product/Item Description,Color,Size,Number of Inner Packs,Number of Pcs per Inner Pack,Record Type,Invoice purpose,Currency,Letter Of Credit,Vendor #,Division #,Cust Acct #,Cust Order #,Promo #,Frt Terms,Carrier Ser Level,Payment Terms %,Payment Terms Disc date,Payment Terms Disc days,Payment Terms Net Date,Payment Terms Net Days,Payment Terms Disc Amt,Payment Terms Desc,Contact Phone,Contact Fax,Contact Email, Allow/Charge Type,Allow/Charge service,Allow/Charge amt,Allow/Charge %,Allow/Charge Rate,Allow/Charge Qty,Allow/Charge Desc,Ship To Name,Ship To Address 1,Ship to address 2,Ship to City,Ship To State,Ship to Zip,Ship To ctry,Ship To contact,Bill To Name,Bill To Address 1,Bill To address 2,Bill To City,Bill To State,Bill To Zip,Bill To ctry,Bill To contact,Buying Party Name,Buying Party Location,Buying Party Address 1,Buying Party address 2,Buying Party City,Buying Party State,Buying Party Zip,Buying Party ctry,Buying Party contact,Notes/Comments,GTIN,Invoice Total,Merchandise Total,Discounted Amounted_Discount Amount,Tax Type,Tax Amount
BL-94792998,11/28/2023,94792998.0,,08/31/2023,,94792998.0,11/21/2023,,Best Way,1946,,,,,,,,,,,,,H,Inventory,,,731830.0,,,,,Prepaid - Charged to Customer ,  ,,,,01/25/2024,60,,WT60,,,,,,,,,,,BIG LOTS STORES - #1946,1201 E MANNING AVE,,REEDLEY,CA,93654.0,US,,,,,,,,,,,,,,,,,,,,,229.08,229.08,229.08,,
BL-94792998,,,,,,,,,,1946,,12,Each,4.8,810692720.0,653899650902,65090,FRIENDSHIP BRACELET KIT,,,6.0,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.08,229.08,229.08,,
BL-94792998,,,,,,,,,,1946,,12,Each,4.89,810693086.0,653899650940,65094,TATTOO KIT,,,6.0,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.08,229.08,229.08,,
BL-94792998,,,,,,,,,,1946,,12,Each,4.8,810693146.0,653899650933,65093,HAIR EXTENSION KIT,,,6.0,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.08,229.08,229.08,,
BL-94792998,,,,,,,,,,1946,,12,Each,4.6,810693208.0,653899650919,65091,ABC BRACELET MAKING KIT,,,6.0,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229.08,229.08,229.08,,
